technology,system,level,lifetime,CF,inv cost,fix cost,var cost
grid1,final_energy_techs,final,,,,,
grid2,final_energy_techs,final,,,,,
grid3,final_energy_techs,final,,,,,
grid4,final_energy_techs,final,,,,,
grid_n,final_energy_techs,final,,,,,
grid_ne,final_energy_techs,final,,,,,
grid_se,final_energy_techs,final,,,,,
grid_s,final_energy_techs,final,,,,,
rivers_north,North,primary,1000.0,,,,
rivers_belo_monte,North,primary,1000.0,,,,
rivers_amazonas,North,primary,1000.0,,,,
hydro_no,North,secondary,60.0,0.372,2374.0,132.0,
hydro_bm,North,secondary,60.0,0.372,2374.0,132.0,
hydro_am,North,secondary,60.0,0.372,2374.0,132.0,
bio_ppl,North,secondary,20.0,0.67,1149.0,49.0,0.0
gas_national_ppl,North,secondary,20.0,0.75,919.0,199.0,41.0
coal_ppl,North,secondary,25.0,0.69,2490.0,201.0,25.0
oil_ppl,North,secondary,20.0,0.06,1100.0,56.4,898.0
solar_pv_ppl,North,secondary,25.0,0.3,632.0,36.0,0.0
wind_ppl,North,secondary,20.0,0.435,1187.0,53.0,0.0
rivers_northeast,Northeast,primary,1000.0,,,,
hydro_ne,Northeast,secondary,60.0,0.353,2374.0,132.0,
bio_ppl,Northeast,secondary,20.0,0.27,1149.0,49.0,0.0
gas_gnl_comb_ppl,Northeast,secondary,20.0,0.75,977.0,91.0,78.0
gas_national_ppl,Northeast,secondary,20.0,0.7,919.0,199.0,41.0
coal_ppl,Northeast,secondary,25.0,0.69,2490.0,201.0,25.0
nuc_ppl,Northeast,secondary,60.0,0.85,5747.0,264.0,6.0
oil_ppl,Northeast,secondary,20.0,0.06,1100.0,56.4,898.0
solar_pv_ppl,Northeast,secondary,25.0,0.3,632.0,36.0,0.0
wind_ppl_cos,Northeast,secondary,20.0,0.47,823.0,49.0,0.0
wind_ppl_int,Northeast,secondary,20.0,0.47,957.0,51.0,0.0
rivers_southeast,Southeast,primary,1000.0,,,,
rivers_itaipu,Southeast,primary,1000.0,,,,
rivers_madeira,Southeast,primary,1000.0,,,,
rivers_teles_pires,Southeast,primary,1000.0,,,,
rivers_parana,Southeast,primary,1000.0,,,,
rivers_paranapanema,Southeast,primary,1000.0,,,,
hydro_se,Southeast,secondary,60.0,0.505,2374.0,132.0,
hydro_it,Southeast,secondary,60.0,0.505,2374.0,132.0,
hydro_ma,Southeast,secondary,60.0,0.505,2374.0,132.0,
hydro_tp,Southeast,secondary,60.0,0.505,2374.0,132.0,
hydro_pa,Southeast,secondary,60.0,0.505,2374.0,132.0,
hydro_pp,Southeast,secondary,60.0,0.505,2374.0,132.0,
bio_ppl,Southeast,secondary,20.0,0.27,670.0,45.0,0.0
gas_gnl_comb_ppl,Southeast,secondary,20.0,0.75,977.0,91.0,78.0
gas_gnl_open_ppl,Southeast,secondary,20.0,0.75,862.0,86.0,102.0
gas_national_ppl,Southeast,secondary,20.0,0.75,919.0,199.0,41.0
gas_brabol_ppl,Southeast,secondary,20.0,0.75,1620.0,43.6,219.8
gas_gna_comb_ppl,Southeast,secondary,20.0,0.75,1800.0,43.6,329.8
gas_gna_open_ppl,Southeast,secondary,20.0,0.75,1800.0,43.6,439.7
gas_argentina_ppl,Southeast,secondary,20.0,0.75,1800.0,43.6,439.7
gas_biomethane_ppl,Southeast,secondary,20.0,0.75,1800.0,43.6,439.7
coal_ppl,Southeast,secondary,25.0,0.69,9999.0,89.7,298.7
nuc_ppl,Southeast,secondary,60.0,0.85,5747.0,264.0,6.0
oil_ppl,Southeast,secondary,20.0,0.06,1100.0,56.4,898.0
solar_pv_ppl,Southeast,secondary,25.0,0.29,632.0,36.0,0.0
wind_ppl,Southeast,secondary,20.0,0.435,1072.0,51.0,0.0
rivers_south,South,primary,1000.0,,,,
rivers_iguacu,South,primary,1000.0,,,,
hydro_su,South,secondary,60.0,0.505,2374.0,132.0,
hydro_ig,South,secondary,60.0,0.505,2374.0,132.0,
bio_ppl,South,secondary,20.0,0.27,1149.0,49.0,0.0
gas_gnl_comb_ppl,South,secondary,20.0,0.75,977.0,91.0,78.0
gas_argentina_ppl,South,secondary,20.0,0.75,1800.0,43.6,439.7
coal_ppl,South,secondary,25.0,0.69,2490.0,201.0,25.0
oil_ppl,South,secondary,20.0,0.06,1100.0,56.4,898.0
solar_pv_ppl,South,secondary,25.0,0.29,632.0,36.0,0.0
wind_ppl_rs,South,secondary,20.0,0.4,823.0,49.0,0.0
